step,tr_loss,tr_acc,val_loss,val_acc
2820,1.226040,0.6646,1.263321,0.6569
2840,1.223791,0.6674,1.256695,0.6504
2860,1.227026,0.6652,1.253329,0.6449
2880,1.226803,0.6652,1.253766,0.6624
2900,1.226685,0.6646,1.253788,0.6661
2920,1.226206,0.6646,1.255520,0.6596
2940,1.230195,0.6661,1.249801,0.6559
2960,1.230631,0.6500,1.248603,0.6615
2980,1.215646,0.6687,1.247824,0.6651
3000,1.218000,0.6683,1.246438,0.6670
3020,1.221717,0.6644,1.242991,0.6633
3040,1.202306,0.6715,1.241816,0.6569
3060,1.201062,0.6733,1.240335,0.6523
3080,1.207313,0.6704,1.240074,0.6615
3100,1.206450,0.6716,1.237756,0.6615
3120,1.199203,0.6744,1.235609,0.6486
3140,1.197930,0.6735,1.233679,0.6559
3160,1.192371,0.6741,1.230639,0.6569
3180,1.187951,0.6750,1.230695,0.6513
3200,1.190707,0.6727,1.228647,0.6504
3220,1.189402,0.6741,1.227808,0.6661
3240,1.190508,0.6737,1.228657,0.6651
3260,1.184781,0.6758,1.230728,0.6633
3280,1.184009,0.6769,1.223992,0.6569
3300,1.178460,0.6793,1.222411,0.6513
3320,1.180534,0.6764,1.218502,0.6569
3340,1.183345,0.6746,1.218540,0.6624
3360,1.182741,0.6751,1.217494,0.6569
3380,1.179428,0.6776,1.215496,0.6596
3400,1.182771,0.6759,1.214265,0.6633
3420,1.181536,0.6765,1.212391,0.6541
3440,1.103894,0.6800,1.211616,0.6559
3460,1.148611,0.6867,1.210408,0.6559
3480,1.156952,0.6790,1.207749,0.6642
3500,1.151179,0.6793,1.207638,0.6596
3520,1.170789,0.6761,1.206895,0.6670
3540,1.162495,0.6791,1.207209,0.6642
3560,1.155479,0.6823,1.206947,0.6532
3580,1.161858,0.6780,1.204294,0.6569
3600,1.159753,0.6779,1.204121,0.6661
3620,1.166991,0.6755,1.199593,0.6624
3640,1.161615,0.6745,1.200116,0.6688
3660,1.158937,0.6754,1.202723,0.6670
3680,1.163885,0.6736,1.198847,0.6651
3700,1.160310,0.6754,1.194626,0.6651
3720,1.164016,0.6747,1.194547,0.6670
3740,1.157946,0.6768,1.194499,0.6679
3760,1.156652,0.6774,1.192520,0.6651
3780,1.155920,0.6774,1.189594,0.6697
3800,1.152938,0.6788,1.189046,0.6578
3820,1.148484,0.6808,1.189260,0.6596
3840,1.149358,0.6809,1.187446,0.6642
3860,1.149087,0.6800,1.186920,0.6697
3880,1.148168,0.6808,1.185558,0.6697
3900,1.145624,0.6806,1.185397,0.6670
3920,1.148296,0.6797,1.186942,0.6679
3940,1.057460,0.7150,1.184952,0.6578
3960,1.075558,0.7025,1.183949,0.6642
3980,1.102190,0.6850,1.181490,0.6716
4000,1.118448,0.6881,1.180601,0.6725
4020,1.131266,0.6840,1.177296,0.6679
4040,1.128386,0.6825,1.178435,0.6642
4060,1.122208,0.6832,1.177350,0.6651
4080,1.121955,0.6822,1.176658,0.6725
4100,1.123052,0.6842,1.174978,0.6624
4120,1.122045,0.6855,1.172940,0.6605
4140,1.119348,0.6852,1.173710,0.6642
4160,1.126490,0.6837,1.171970,0.6697
4180,1.121080,0.6848,1.171014,0.6679
4200,1.120283,0.6843,1.169526,0.6725
4220,1.116873,0.6853,1.168152,0.6725
4240,1.117515,0.6852,1.168615,0.6633
4260,1.112529,0.6890,1.166274,0.6688
4280,1.113381,0.6889,1.163617,0.6753
4300,1.113567,0.6889,1.164778,0.6707
4320,1.114658,0.6884,1.161369,0.6743
4340,1.118026,0.6877,1.159417,0.6716
4360,1.114277,0.6883,1.158805,0.6734
4380,1.116283,0.6876,1.157746,0.6743
4400,1.119268,0.6860,1.158922,0.6734
4420,1.215580,0.6350,1.159091,0.6716
4440,1.123117,0.6667,1.158564,0.6679
4460,1.094921,0.6880,1.154452,0.6707
4480,1.085178,0.6864,1.154421,0.6743
4500,1.095024,0.6833,1.155484,0.6725
4520,1.108151,0.6777,1.154728,0.6762
4540,1.107822,0.6804,1.154597,0.6725
4560,1.113125,0.6800,1.152338,0.6753
4580,1.111391,0.6812,1.150213,0.6743
4600,1.109491,0.6832,1.150561,0.6697
4620,1.109081,0.6833,1.149444,0.6697
4640,1.107566,0.6835,1.148690,0.6789
4660,1.102367,0.6870,1.147070,0.6762
4680,1.099861,0.6885,1.147857,0.6716
4700,1.099435,0.6886,1.145234,0.6743
4720,1.094996,0.6911,1.147243,0.6670
4740,1.095274,0.6898,1.144733,0.6707
4760,1.100712,0.6874,1.142802,0.6734
4780,1.100880,0.6872,1.143433,0.6734
4800,1.102913,0.6865,1.141934,0.6734
4820,1.100128,0.6877,1.141187,0.6725
4840,1.100939,0.6866,1.140330,0.6771
4860,1.100335,0.6859,1.139081,0.6762
4880,1.096587,0.6869,1.138203,0.6716
4900,1.095684,0.6892,1.139988,0.6596
4920,1.032535,0.7325,1.135055,0.6725
4940,1.079826,0.6987,1.133668,0.6817
4960,1.097670,0.6933,1.132011,0.6789
4980,1.086092,0.6975,1.132478,0.6780
5000,1.098392,0.6890,1.131921,0.6771
5020,1.093243,0.6908,1.131376,0.6743
5040,1.099775,0.6854,1.129589,0.6762
5060,1.097886,0.6847,1.129050,0.6762
5080,1.094127,0.6842,1.130393,0.6771
5100,1.093875,0.6863,1.130492,0.6762
5120,1.087198,0.6882,1.129024,0.6743
5140,1.088883,0.6869,1.127448,0.6725
5160,1.092506,0.6854,1.125308,0.6780
5180,1.094744,0.6837,1.126037,0.6789
5200,1.089382,0.6858,1.125223,0.6753
5220,1.089623,0.6866,1.124707,0.6734
5240,1.090722,0.6871,1.125393,0.6771
5260,1.093776,0.6865,1.125120,0.6753
5280,1.088907,0.6888,1.121782,0.6799
5300,1.084674,0.6901,1.120445,0.6753
5320,1.081900,0.6906,1.120123,0.6743
5340,1.078105,0.6922,1.121996,0.6753
5360,1.072928,0.6932,1.122828,0.6697
5380,1.072364,0.6940,1.121256,0.6734
5400,1.172187,0.6850,1.119173,0.6743
5420,1.104989,0.6967,1.117098,0.6762
5440,1.078188,0.6900,1.117515,0.6753
5460,1.071656,0.6921,1.116056,0.6743
5480,1.080644,0.6911,1.115011,0.6753
5500,1.069438,0.6964,1.113978,0.6753
5520,1.070206,0.6977,1.115226,0.6789
5540,1.070168,0.6970,1.113211,0.6808
5560,1.073905,0.6947,1.112909,0.6762
5580,1.073002,0.6942,1.111946,0.6835
5600,1.069522,0.6964,1.110153,0.6808
